,0,0.002739726,0.030136986,0.095890411,0.263013699,0.342465753,0.421917808,0.498630137,0.594520548,0.764383562,1.010958904,1.246575342,1.515068493,1.761643836,4.019178082,5.016438356,6.01369863,7.01369863,8.016438356,9.016438356,10.02191781,11.01917808,12.01917808,15.01917808,20.02465753,25.02739726,30.03013699,50.04383562
100,43174.87916,43178.05918,43178.17965,43178.09632,43483.86007,45621.89748,45565.82712,45621.10394,45613.50905,45622.32856,45297.58663,42104.86356,42066.28946,42322.61943,43285.10462,62876.9348,82546.72107,93045.2529,88093.22269,70350.0259,46629.11434,21293.47903,-1207.518208,-44606.04046,-116920.7465,-107551.081,-94463.14459,-31865.5947
75,32159.45369,32161.63155,32161.71406,32161.70545,32391.58434,33993.98357,33953.73556,33993.61495,33988.36308,33994.85279,33745.85926,31286.34804,31253.19809,31429.44987,32031.44182,45095.2206,59034.69175,67124.95002,63846.88524,51081.15194,34051.30632,15740.21938,-698.5695171,-34625.55817,-91444.44617,-84174.43057,-72999.5381,-24105.93998
50,21316.83194,21318.14792,21318.19777,21318.22739,21471.84486,22539.37139,22513.74735,22539.2719,22536.06016,22540.28915,22371.05122,20687.37857,20664.5268,20775.51081,21084.97769,29322.31944,37625.7179,42342.20718,41231.0893,32948.65133,22011.47506,10011.83686,-884.585401,-24112.52417,-63746.49174,-57374.28036,-48778.09951,-15804.78339
25,10516.38736,10516.97765,10517.00001,10517.03243,10594.02291,11127.41796,11115.1978,11127.46085,11125.99673,11128.06856,11041.53412,10178.86357,10168.54757,10225.28921,10336.83938,14028.50021,17883.63227,19882.30689,19700.95049,16205.87487,10284.68303,4683.892737,-1004.245776,-12315.88309,-31646.05178,-28151.07446,-24486.18745,-8020.899716
10,4214.845166,4215.065482,4215.073828,4215.090909,4245.92949,4459.201824,4454.451563,4459.236875,4458.683734,4459.518241,4424.53603,4073.904875,4069.841334,4090.636806,4131.93315,5548.959342,7050.2928,7800.698341,7345.930478,6592.635547,4068.91778,1578.853768,-444.1215346,-4616.426349,-12567.67121,-11427.96901,-9899.386135,-3148.040624
-10,-4236.067277,-4236.266405,-4236.273948,-4236.296541,-4267.19199,-4480.349343,-4475.783972,-4480.371567,-4479.867805,-4480.730126,-4445.031809,-4086.950748,-4083.864018,-4103.242054,-4099.315254,-5391.442628,-6691.476892,-7396.669655,-6731.981295,-6083.14439,-4962.41538,-1771.099712,331.2275671,5147.686556,13285.44783,12180.96155,10769.58116,3570.42218
-25,-10484.87361,-10485.33226,-10485.34963,-10485.4163,-10562.75935,-11095.44042,-11084.36845,-11095.58859,-11094.38669,-11096.52022,-11006.89082,-10106.94096,-10095.80885,-10149.29825,-10161.46874,-13099.85823,-16326.54986,-17850.2082,-16752.46048,-14078.89014,-10538.03891,-5769.281281,-1228.899687,11716.04672,32978.36621,30122.93624,26272.62346,8863.503747
-50,-20752.33212,-20753.12071,-20753.15058,-20753.31741,-20908.34959,-21973.01518,-21951.95066,-21973.49775,-21971.36692,-21975.46313,-21792.61634,-19939.26575,-19918.01492,-20018.99105,-20003.62772,-25079.73832,-31061.08161,-33589.80746,-30863.65469,-25597.26112,-17689.58512,-8747.966265,-794.9695086,21767.63593,67837.49759,60860.03111,53131.80536,17075.96808
-75,-31056.47835,-31057.46745,-31057.50492,-31057.80559,-31290.87416,-32886.82226,-32856.93422,-32887.75648,-32884.95949,-32891.03618,-32611.82533,-29762.54163,-29730.83192,-29878.36258,-29718.2299,-36666.37119,-44232.34416,-47075.73205,-42796.55058,-34700.83663,-22982.24822,-10357.44108,1492.160492,34966.25058,103704.5714,94629.41123,82672.82143,25614.35492
-100,-41149.03468,-41150.10044,-41150.14081,-41150.60754,-41462.04483,-43588.60478,-43551.00586,-43590.19048,-43587.03719,-43594.9622,-43215.7266,-39331.74649,-39290.79451,-39481.46584,-39143.0606,-47171.30414,-55915.93214,-58799.93851,-52209.46797,-41004.73941,-25969.91305,-10169.00045,5716.399623,48212.21469,142454.3015,129057.4165,112706.971,34056.40152
